tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
132,1/1/2018 0:01,1/1/2018 0:03,3186,Grove St PATH,40.71958612,-74.04311746,3211,Newark Ave,40.72152515,-74.04630454,29590,Subscriber,1964,1
560,1/1/2018 1:27,1/1/2018 1:36,3276,Marin Light Rail,40.71458404,-74.04281706,3269,Brunswick & 6th,40.72601173,-74.05038893,29613,Subscriber,1989,2
294,1/1/2018 1:29,1/1/2018 1:33,3195,Sip Ave,40.73074263,-74.06378388,3225,Baldwin at Montgomery,40.7236589,-74.0641943,31940,Subscriber,1994,1
197,1/1/2018 1:59,1/1/2018 2:02,3211,Newark Ave,40.72152515,-74.04630454,3278,Monmouth and 6th,40.72568548,-74.04879034,31949,Subscriber,1964,1
932,1/1/2018 2:06,1/1/2018 2:21,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,31929,Subscriber,1992,1
142,1/1/2018 2:10,1/1/2018 2:13,3185,City Hall,40.7177325,-74.043845,3213,Van Vorst Park,40.71848892,-74.04772663,31920,Subscriber,1976,1
360,1/1/2018 2:38,1/1/2018 2:44,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,3280,Astor Place,40.7192822,-74.07126188,31678,Subscriber,1994,1
1795,1/1/2018 3:17,1/1/2018 3:47,3195,Sip Ave,40.73074263,-74.06378388,3198,Heights Elevator,40.74871595,-74.0404433,29634,Subscriber,1990,1
300,1/1/2018 3:21,1/1/2018 3:26,3185,City Hall,40.7177325,-74.043845,3267,Morris Canal,40.71241882,-74.03852552,29626,Subscriber,1988,1
252,1/1/2018 3:22,1/1/2018 3:26,3481,York St,40.71649,-74.04105,3213,Van Vorst Park,40.71848892,-74.04772663,31760,Subscriber,1988,1
190,1/1/2018 3:29,1/1/2018 3:32,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,29622,Subscriber,1989,1
172,1/1/2018 3:38,1/1/2018 3:41,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,31907,Subscriber,1981,1
358,1/1/2018 3:49,1/1/2018 3:55,3640,Journal Square,40.73367,-74.0625,3201,Dey St,40.737711,-74.066921,32795,Subscriber,1970,1
209,1/1/2018 3:57,1/1/2018 4:01,3275,Columbus Drive,40.7183552,-74.03891444,3267,Morris Canal,40.71241882,-74.03852552,31743,Subscriber,1993,1
388,1/1/2018 4:54,1/1/2018 5:01,3214,Essex Light Rail,40.7127742,-74.0364857,3276,Marin Light Rail,40.71458404,-74.04281706,31946,Subscriber,1982,1
583,1/1/2018 6:35,1/1/2018 6:45,3195,Sip Ave,40.73074263,-74.06378388,3193,Lincoln Park,40.7246051,-74.07840595,31765,Subscriber,1977,1
124,1/1/2018 6:42,1/1/2018 6:44,3211,Newark Ave,40.72152515,-74.04630454,3186,Grove St PATH,40.71958612,-74.04311746,29590,Subscriber,1964,1
190,1/1/2018 8:32,1/1/2018 8:35,3278,Monmouth and 6th,40.72568548,-74.04879034,3211,Newark Ave,40.72152515,-74.04630454,31949,Subscriber,1977,1
156,1/1/2018 8:42,1/1/2018 8:44,3211,Newark Ave,40.72152515,-74.04630454,3278,Monmouth and 6th,40.72568548,-74.04879034,31840,Subscriber,1977,1
382,1/1/2018 8:46,1/1/2018 8:53,3267,Morris Canal,40.71241882,-74.03852552,3187,Warren St,40.7211236,-74.03805095,29626,Subscriber,1968,1
187,1/1/2018 8:48,1/1/2018 8:51,3206,Hilltop,40.7311689,-74.0575736,3209,Brunswick St,40.7241765,-74.0506564,31711,Subscriber,1985,2
147,1/1/2018 8:55,1/1/2018 8:57,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,31832,Subscriber,1992,1
157,1/1/2018 9:13,1/1/2018 9:15,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,29590,Subscriber,1985,2
125,1/1/2018 9:37,1/1/2018 9:39,3214,Essex Light Rail,40.7127742,-74.0364857,3267,Morris Canal,40.71241882,-74.03852552,29615,Subscriber,1968,1
659,1/1/2018 10:00,1/1/2018 10:11,3198,Heights Elevator,40.74871595,-74.0404433,3207,Oakland Ave,40.7376037,-74.0524783,31829,Subscriber,1984,2
252,1/1/2018 10:21,1/1/2018 10:25,3211,Newark Ave,40.72152515,-74.04630454,3187,Warren St,40.7211236,-74.03805095,31949,Subscriber,1983,1
505,1/1/2018 10:23,1/1/2018 10:32,3211,Newark Ave,40.72152515,-74.04630454,3206,Hilltop,40.7311689,-74.0575736,31872,Subscriber,1985,2
273,1/1/2018 10:33,1/1/2018 10:38,3186,Grove St PATH,40.71958612,-74.04311746,3278,Monmouth and 6th,40.72568548,-74.04879034,31832,Subscriber,1981,2
